Start x,Start y,End x,End y,Start Move,End Move,Comboer Character,Comboee Character,Start %,End %,Frames Between Moves,Stage
34.255993,12.671445,28.100595,12.671445,17,21,22,22,36.96,55.199997,28,2
53.895287,0.623875,35.95207,18.272156,21,17,22,22,70.2,85.119995,64,2
44.43465,30.2426,37.034794,39.25334,16,11,1,22,27.05,57.79,39,28
37.034794,39.25334,6.8403354,54.721565,11,15,1,22,39.79,66.25,67,28
-69.60084,0.0089,-63.660004,0.0089,17,21,1,22,91.81,104.31,46,28
23.2753,0.0089,22.577545,0.0089,2,3,22,1,0,8,10,28
36.266006,30.2426,56.71738,38.7623,8,8,1,22,30.279999,47.29,29,28
-30.638353,59.974922,-41.493107,81.48103,21,16,22,22,19.46,33.46,41,28
-58.351265,0.0089,-85.42835,-2.0372071,8,15,22,22,56.319996,74.049995,47,28
-34.906303,9.188902,-38.523766,-0.14303017,5,5,22,22,0,3.73,27,28
-81.62577,-12.296789,-86.84728,20.358406,8,15,22,22,85.049995,107.60999,50,28
15.770009,0.0089,11.263163,0.0089,17,21,22,22,0,20,24,28
11.263163,0.0089,-0.9516803,6.555347,21,21,22,22,12,27.279999,50,28
-21.409187,10.5847645,-17.39038,-0.82960725,8,21,22,22,33.92,48.879997,37,28
-17.39038,-0.82960725,-3.0953393,16.20861,21,16,22,22,42.559998,54.879997,53,28
-64.50282,-3.9578047,-80.54332,20.111523,8,17,22,22,77.46,98.01,47,28
25.69366,0.0089,31.567003,0.0089,17,21,22,22,0,19.24,27,28
61.035164,25.316456,81.64478,5.6408386,16,15,22,22,28.06,53.059998,39,28
48.21132,0.0089,32.16708,24.38966,21,16,22,22,61.609997,78.61,56,28
-5.7005296,0.0001,-17.377748,13.831397,21,17,22,22,15,34.04,46,31
-17.377748,13.831397,-22.326601,0.0001,17,21,22,22,23,41.4,27,31
-22.326601,0.0001,-34.899414,22.352455,21,16,22,22,34.04,47.4,46,31
-44.332836,27.2001,-57.64275,31.765347,21,17,22,22,22.84,40.6,54,31
-62.56818,0.0001,-71.610016,-8.130059,8,21,22,22,40.6,55.69,39,31
-2.6749814,54.4001,9.479766,60.374825,21,13,22,22,12,29.920002,50,31
